,EBIT / total assets,short-term liabilities / total assets,current assets / short-term liabilities,(current assets - inventory - receivables) / short-term liabilities,retained earnings / total assets,equity / total assets,total sales / total assets,(gross profit + depreciation) / total liabilities,gross profit / sales,total liabilities / ((profit on operating activities + depreciation) * (12/365)),(inventory * 365) / cost of products sold,profit on sales / total assets,gross profit (in 3 years) / total assets,(equity - share capital) / total assets,equity / fixed assets,logarithm of total assets,(total liabilities - cash) / sales,(short-term liabilities * 365) / cost of products sold),sales / short-term liabilities,operating expenses / total liabilities,profit on operating activities / sales,rotation receivables + inventory turnover in days,(receivables * 365) / sales,working capital,(sales - cost of products sold) / sales,(current assets - inventory - short-term liabilities) / (sales - gross profit - depreciation),total costs /total sales,long-term liabilities / equity,sales / receivables,sales / fixed assets,working capital / total assets,class
494,-0.15149,0.47483000000000003,1.0061,0.021106,0.21875999999999998,0.37845,1.7224,-0.15803,-0.088824,-0.25282,17.574,-0.13425,0.27734,0.37845,0.72464,5.3956,0.35684,0.25956,3.5917,-0.21802,-0.07872,100.1,81.25,725.0,-0.072655,-0.33791,1.0727,0.37249,4.4923,3.2656,0.0029157,0
495,0.020209,0.27801,2.7842,0.023065,-0.13683,0.65168,1.1853,0.1219,0.017259,0.28568,188.9,0.017838999999999997,-0.13619,0.65168,2.8842,4.4484,0.29215,0.2407,4.2118,0.051344,0.015235,239.29,52.955,13930.0,0.01361,0.031010000000000003,0.98639,0.10653,6.8927,5.1823,0.49604,0
496,0.35548,0.12399,5.7203,3.3027,0.0,0.8740899999999999,1.2619,3.0196,0.28171,0.01104,7.0084,0.35685,0.85205,0.86492,3.0067,3.7367,-0.22118,0.137,10.177,7.1879,0.28167,86.708,81.681,3192.3,0.28279,0.32191,0.71998,0.0,4.4686,4.3406,0.58529,0
497,0.16092,0.26187,2.8095,0.16916,0.14476,0.69238,1.3885,0.57597,0.11589,0.055089,162.36,0.15492,0.89535,0.67752,2.6198,3.5271,0.19986,0.21228,5.3024,4.0101,0.12234,181.75,37.501,1594.7,0.11157,0.18812,0.88536,0.066088,9.7331,5.2539,0.47384,0
498,0.078717,0.12353,4.4478,0.73088,0.031307999999999996,0.38378,1.2229999999999999,0.2058,0.064773,0.14296,89.774,0.089804,0.033232,0.38378,0.85177,4.4685,0.30392,0.11017,9.838,0.19575,0.073896,137.9,55.072,12526.0,0.077353,0.20372,0.92265,0.8735200000000001,6.6277,2.6972,0.4259,0
499,0.055357,0.078793,2.1036,0.037723,0.0,0.8617799999999999,0.54708,1.2532,0.10119,0.026219,71.912,0.063734,0.12435,0.08142100000000001,1.033,5.5834,0.25074,0.16302,6.9432,3.4969,0.10577,108.6,45.068,33318.0,0.1165,0.051876,0.90014,0.052479,8.099,0.65577,0.086957,0
500,0.021226,0.40383,0.9323,0.069834,-0.040154,0.58407,1.5932,0.12053,0.013328,0.20324,40.161,0.037880000000000004,-0.034199,0.58407,0.93676,4.537,0.2359,0.26314,3.9438,0.0938,0.023784,79.822,41.123,-941.48,0.036409,0.028536000000000002,0.96359,0.0,8.8758,2.5543,-0.027338,0
501,-0.064274,0.39826,1.8157,0.40656,0.0,0.5931,2.2208,-0.10831,-0.028942,-0.28265,5.2873,-0.068937,0.16046,-0.055441,2.1423,3.9662,0.11077,0.17394,5.5761,5.6271,-0.030704,92.242,86.79,3005.7,-0.031042,-0.11160999999999999,1.0288,0.0,4.2055,8.0214,0.32488,0
502,-0.047764999999999995,0.37768,1.455,0.016118,0.12712,0.5282399999999999,5.1918,0.10463,-0.0092002,0.19194,13.495,-0.015194,-0.20298,0.51623,1.1726,3.3116,0.089694,0.072533,13.747,11.037,-0.0029266,38.205,24.67,352.12,-0.0029266,-0.090423,1.0093,0.1781,14.795,11.525,0.17182999999999998,0
503,0.015864,0.16117,2.0141,0.6639,0.35743,0.68103,0.8187300000000001,0.35011,0.02,0.088244,23.806,0.022579,0.44533,0.68103,1.0084,5.2809,0.24737,0.20517,4.9217,0.075526,0.028464,100.14,76.56,31210.0,0.0097028,0.016227000000000002,0.9903,0.20232,4.7675,1.1745,0.16345,0
504,-0.28486,0.27895,1.2691,0.040629,-0.35605,0.60674,1.1832,-0.8849,-0.249,-0.037227,13.815,-0.28436999999999996,-0.35235,0.60674,0.93925,4.0039,0.23412,0.19564,4.1011,-1.0194,-0.24857,109.33,92.112,757.28,-0.24635,-0.46717,1.2463,0.0,3.9626,1.771,0.075057,0
505,-0.10637,0.20387,0.68053,0.052327,-0.1315,0.043896,0.36536,-0.063227,-0.29112,-0.5327,68.792,-0.09874400000000001,-0.13557,-0.23786,0.050967,4.0726,2.5892,0.43928,1.7921,0.48541,-0.28942,127.95,40.562,-769.75,-0.27027,-2.4231,1.287,16.6,8.9985,0.42422,-0.06513,0
506,0.10011,0.52361,1.846,0.24593,0.35181,0.47573999999999994,4.4211,0.20305,0.022951,0.24684,10.792,0.063527,0.43995,0.47573999999999994,14.234,4.2823,0.090631,0.12168,8.3303,0.12133,0.014564,70.109,59.463,8485.6,0.013483,0.16913,0.98652,0.0,6.1383,130.5,0.44297,0
507,-0.016386,0.18026,1.6765,0.16912,-0.020208,0.68485,1.463,0.42909,-0.011323,0.069185,39.937,-0.0027929,-0.017022,0.68485,0.98145,4.782,0.19212,0.12478,8.0277,-0.0094742,-0.00193,68.537,28.668,7382.4,0.0016973,-0.007924800000000001,0.9983,0.16724,12.732,2.0738,0.12194,0
508,-0.033704000000000005,0.034682,23.023,10.046,0.0,0.9653200000000001,0.79301,-0.47961,-0.042502,-0.046649,124.67,-0.045883999999999994,0.18377,0.9077700000000001,4.7897,2.9389999999999996,-0.39153,0.041342,22.866,24.189,-0.052777,207.15,75.26,663.65,-0.05786,-0.034914999999999995,1.0419,0.0,4.8498,3.9347,0.76378,0
509,0.1409,0.016499,25.97,17.035,0.51393,0.9515299999999999,0.64541,10.357,0.22725,0.003588,6.6731,0.1212,0.58796,0.9515299999999999,1.6649,4.0923,-0.41963,0.032784,37.58,7.3457,0.19547,86.786,81.369,5095.1,0.18833,0.12045,0.81167,0.0,4.4857,1.0849,0.41198999999999997,0
510,-0.10054,0.69615,0.94432,0.019836,-0.11682999999999999,0.23826,1.1886,-0.10405,-0.086423,-0.27585,70.675,-0.11159000000000001,-0.11495,0.23826,0.69541,4.9112,0.61882,0.54984,1.6711,-0.15289,-0.095921,201.92,125.01,-3159.5,-0.088319,-0.43146999999999996,1.0883,0.14145,2.9199,3.3955,-0.038765,0
511,0.053551999999999995,0.013954,46.708,42.123,0.49695,0.8652,0.3696,5.7158,0.16937,0.0087377,11.639,0.020868,0.61648,0.8652,2.4846,4.7676,-1.8005,0.048047,22.659,1.247,0.066,73.86,63.169,37348.0,0.081461,0.049013,0.91854,0.0032129,5.7782,0.908,0.6378199999999999,0
512,-0.065768,0.35908,1.088,0.046253,0.11065,0.3536,1.1555,0.051832,-0.058105,0.31021,73.838,-0.040117,0.16925,0.3536,0.58033,5.1987,0.40483,0.33997,3.1521,-0.084689,-0.035443,120.63,51.732,4996.0,0.066855,-0.21756,0.93315,0.32415,7.0556,1.8577,0.031616000000000005,0
513,0.06739400000000001,0.18387,0.98437,0.035038,0.34617,0.65051,0.7853,0.50251,0.087184,0.065761,40.44,0.06676699999999999,0.45083,0.65051,0.79427,5.707999999999999,0.31194,0.30037,4.2041,0.27359,0.086372,82.42,50.396,-1467.5,0.20811,0.058263999999999996,0.79189,0.092498,7.2426,0.94384,-0.0028744,0
514,-0.049116,0.040877,20.844,8.7321,-0.63665,0.95875,1.2971,-0.52261,-0.037867,-0.034854,91.578,-0.068133,0.043496,-0.68053,6.4788,4.0595,-0.24246,0.029942,31.731,33.092,-0.051662,139.32,42.929,9302.6,-0.052529,-0.047524000000000004,1.0372,0.0,8.5023,8.7651,0.81114,0
515,-0.026397000000000004,0.16589,1.4215,0.13798,0.034197000000000005,0.011404000000000001,1.0287,0.019801,-0.027528,0.98663,30.864,-0.015475,0.063382,0.011404000000000001,0.014923,6.0275,0.83434,0.18402,5.7802,-0.019159,-0.016138,81.047,52.031,74484.0,0.059864,-1.1818,0.94014,56.278999999999996,7.0151,1.2548,0.06991699999999999,0
516,-0.30171,0.35729,1.1257,0.029612,0.0,0.36512,1.1479,-0.39571,-0.26284,-0.091277,30.246,-0.19608,-0.27981,0.34919,0.61076,3.5053,0.55067,0.26584,3.2128,2.1169,-0.24596,124.52,89.107,143.74,-0.17082,-0.8263299999999999,1.2618,0.71862,4.0962,1.9202,0.044897,0
517,-0.16259,0.80198,0.31993,0.032562,-0.33816,0.15257,0.38383,-0.11928,-0.46631,-0.46372,159.43,-0.12379000000000001,-0.33282,0.15257,0.20523,4.7344,2.2302,1.7221,0.43477,-0.15435,-0.35503,241.26,28.316,-29589.0,-0.33564,-1.1027,1.3356,0.0,12.89,0.46902,-0.5454,0
518,0.037013,0.12616,2.1562,0.017549,0.0,0.87384,0.029592,0.4929,1.2508,0.064159,139.01,-0.061632000000000006,0.043529,0.036188,1.2004,4.0395,4.1884,1.0032,0.23457,0.99686,1.3643,3327.8,2737.0,2.1562,-2.0827,0.03241,0.77727,0.0,0.13336,0.04065,0.14586,0
519,-0.14553,0.045556,16.538,6.9425,0.0,0.9437,0.46718999999999994,-2.2841,-0.31149,-0.014939,141.28,-0.14449,-0.059631,0.8791,3.8269,3.0568,-0.54549,0.074475,10.255,10.865,-0.30514,341.52,156.54,806.78,-0.30928,-0.15420999999999999,1.3084,0.0,2.3316,1.8945,0.7078399999999999,0
521,0.071992,0.17635,3.9626,1.926,0.10503,0.81379,1.9173,0.65001,0.037667,0.037646,53.663,0.11137000000000001,0.14679,0.81379,2.7019,4.1059,-0.082736,0.098012,10.838,0.63154,0.058272,68.591,18.072,6666.9,0.058576,0.06736900000000001,0.94142,0.0,20.197,6.3458,0.52246,0
522,0.010643000000000001,0.26774000000000003,1.376,0.22868,0.0,0.26366999999999996,0.56447,0.082728,0.018855,0.28753,137.77,-0.023316,0.32183,0.23635,0.41747,4.4086,1.2966,0.4555,2.1083,0.79827,0.062168,198.63,55.167,2579.2,-0.041306,0.028968,0.98307,0.90102,6.6162,0.89374,0.10067000000000001,0
523,0.030269,0.70449,0.8638,0.032988,0.039039,0.15045999999999998,1.4380000000000002,0.081698,0.021279,0.29612,107.0,0.054956,0.061401,0.15045999999999998,0.38435,4.5338,0.57875,0.52091,2.0192,0.065285,0.038634,150.18,48.451,-3279.6,0.04926,0.15541,0.95074,0.91255,7.5333,3.6338,-0.095948,0
524,-0.017686,0.49449,0.83201,0.051101,0.16583,0.50098,0.6283,0.087776,-0.028362,0.25967,136.25,0.0016937,0.20856,0.50098,0.85116,5.0117,0.76429,0.8007,1.2611,0.003394,0.002716,226.02,91.089,-8534.0,0.0096621,-0.030524000000000003,0.99034,0.0090542,4.0071,1.0595,-0.08306799999999999,0
525,0.034557,0.2098,2.8635,1.149,0.0,0.75043,0.32045,0.6745,0.10784,0.048564,307.76,0.011475,0.10586,0.64573,1.8796,5.1039,0.7689,1.4805,1.5274,0.56781,0.11709,409.69,273.59,49667.0,0.5578,0.046049,0.62503,0.038976,1.3341,0.80264,0.39095,0
526,0.26056999999999997,0.58795,0.99723,0.068306,-0.20751,0.3258,0.71977,0.43306,0.36202,0.071582,67.33,-0.15734,0.19784,0.057422,0.78758,3.9621,0.92795,0.67033,1.2242,1.301,0.39256,276.96,194.92,-14.902999999999999,-0.2186,0.64569,0.77844,0.26095999999999997,1.8726,1.7399,-0.0016262,0
527,0.092981,0.029713,11.563,0.064662,0.40289,0.89665,0.8384799999999999,1.5097,0.11147,0.021062,36.174,0.098275,0.38365,0.89665,1.366,4.6509,0.12286,0.040923,28.072,0.95093,0.11782,149.51,118.02,14049.0,0.12953,0.11492999999999999,0.87047,0.082121,3.0928,1.2707,0.31386,0
528,-0.0057009999999999995,0.23669,1.5446,0.045752,-0.0056719,0.70578,0.5392399999999999,0.11627,-0.010572,0.25101,179.58,0.08515299999999999,0.064209,0.46893999999999997,1.1125,5.3817,0.54563,0.51225,2.2783,1.5704,-0.0015554,240.14,86.258,1.5446,0.15791,0.0,0.86538,0.081523,4.2315,0.84999,0.12891,0
529,0.044704,0.28701,1.7779,0.37539,0.21009,0.53105,1.0233,0.2558,0.043941,0.077665,87.885,0.12322000000000001,0.22259,0.53105,1.0844,5.6963,0.35604,0.32041,3.5447,0.2629,0.12112,144.42,67.034,110930.0,0.11953,0.095569,0.88047,0.34212,5.445,2.0774,0.22326,0
530,0.058151999999999995,0.31797,1.3083,0.02984,0.28936,0.62913,1.2559,0.24935,0.04654,0.11717,108.26,0.069739,0.28936,0.62913,1.0773,4.6692,0.2901,0.2723,3.9297,0.18804,0.055813,118.74,17.57,4576.8,0.065452,0.092432,0.93455,0.084087,20.774,2.1395,0.09801900000000001,0
531,0.0012273,0.22291999999999998,1.7552,0.12262,-0.0067095,0.52542,0.54193,0.0064752,0.0022646,8.5706,278.1,0.0012159,0.11523,0.29272,0.86315,4.1103,0.87375,0.52297,2.431,0.89819,0.0,245.12,26.38,2170.5,0.21343,0.0023358,0.81103,0.45971999999999996,13.836,0.89028,0.16835999999999998,0
532,0.057635000000000006,0.065294,8.2659,1.3439,0.56133,0.93471,0.7036600000000001,1.5055,0.082796,0.022916,55.887,0.053012000000000004,0.56133,0.93471,2.0307,4.9088,-0.031534,0.10133,10.661,0.81189,0.076155,236.98,185.25,38451.0,0.074365,0.061661,0.92563,0.0,1.9703,1.5123,0.47442,0
533,0.053653,0.039463,15.358,1.7668,0.33198,0.63551,0.59016,0.28014,0.092577,0.11786,60.095,0.053225,0.33725,0.63551,1.6132,5.3718,0.50657,0.074852,14.686,0.14739,0.091838,337.78,283.11,133360.0,0.09032,0.082798,0.90968,0.5061399999999999,1.2892,1.4712,0.5665899999999999,0
534,0.12959,0.14269,2.4603,0.38244,0.0,0.7196899999999999,1.7948,0.86211,0.0722,0.036898,23.072,0.13274,0.93114,0.18059,1.109,3.7391,0.1296,0.08585,12.579,5.9294,0.078648,60.293,38.928,1142.8,0.07396,0.18006,0.92831,0.19122,9.3763,2.7657,0.20836,0
535,0.11585999999999999,0.24425,1.5107,0.16895,0.45952,0.66822,0.80425,0.53761,0.14977,0.060311,0.15299,0.11835,0.56759,0.66822,1.059,4.132,0.37877,0.38795,3.1673,0.35696,0.15299,154.63,134.55,1690.4,0.18617,0.13901,0.81383,0.13066,2.7128,1.226,0.12475,0
536,0.10402,0.040779,12.825,9.4846,0.30695,0.9528399999999999,0.5979899999999999,3.8254,0.18849,0.0093476,60.827,0.09144400000000001,0.34826,0.9528399999999999,1.9975,4.649,-0.62343,0.08333,13.532,2.2424,0.16571,90.094,36.153,21491.0,0.1132,0.09562799999999999,0.8868,0.0,10.096,1.1568,0.4822,0
537,0.047356,0.41881,1.0205,0.046137,0.25667,0.45448,2.1576,0.17181,0.022837,0.1734,49.218,0.057037,0.32331,0.45448,0.79372,4.4485,0.25422,0.20119,4.9513,0.10483,0.027505,71.83,22.421,241.42,-0.0038725,0.08731900000000001,1.0039,0.27566999999999997,16.279,3.6215,0.0085948,0
538,0.1942,0.052964,14.233,12.69,0.55975,0.9161299999999999,0.73453,4.0761,0.27689,0.0090206,33.191,0.17135,0.69188,0.9161299999999999,3.7217,4.8307,-0.88161,0.098075,13.243,3.2352,0.24431,42.526,16.97,47457.0,0.23004,0.17165999999999998,0.76996,0.0,21.509,2.8493,0.70087,0
539,0.094799,0.07447999999999999,8.261,0.42219,0.30485,0.79987,0.81076,0.82391,0.12963,0.036592,251.78,0.10807,0.33111,0.79987,2.0791,4.7575,0.20583,0.10855,9.8185,0.60727,0.14777,291.41,55.172,30940.0,0.061739,0.10902,0.93826,0.12936,6.6157,1.9008,0.5408,0
540,0.07349299999999999,0.23325,3.0021,0.0017522,0.29865,0.76663,0.79581,0.43425,0.093225,0.079503,87.963,0.06865700000000001,0.30085,0.76663,2.5575,5.1667,0.2955,0.32499,3.3798,0.2942,0.08709,324.02,243.94,68556.0,0.089587,0.09551799999999999,0.91041,0.00015105,1.4963,2.63,0.46698999999999996,0
541,0.045931,0.17576,3.7534,0.0031393,0.19438,0.8241299999999999,0.50095,0.4183,0.094748,0.091431,103.26,0.035611000000000004,0.2032,0.8241299999999999,2.4216,5.8399,0.36142,0.39058,2.7582,0.20262,0.07346,496.28,400.43,334750.0,0.071751,0.052565999999999995,0.92825,0.0,0.91152,1.4245,0.48393,0
542,0.030413,0.14164000000000002,4.1048,0.023168,0.09920599999999999,0.84535,0.48033000000000003,0.37857,0.064451,0.098529,83.12,0.023469999999999998,0.12508,0.84535,2.0195,5.7343,0.32659,0.31612,3.3316,0.15176,0.049738,447.18,368.26,238540.0,0.050492,0.027895,0.94951,0.015392,0.99116,1.1273,0.43976000000000004,0
543,0.21218,0.20501,1.9689,0.46754,0.35529,0.76105,1.3423,1.2792,0.15854,0.025264,41.377,0.21744000000000002,0.43918,0.76105,1.2762,4.3891,0.12883,0.18317,6.5281,0.91459,0.16247,83.944,49.34,4865.8,0.16369,0.22785,0.83631,0.043014,7.3976,2.2442,0.19864,0
544,0.26538,0.07244500000000001,8.4445,1.1308,0.78998,0.8984,1.3249,3.9426,0.20147,0.0078642,49.044,0.28267,0.79363,0.8984,2.314,4.9182,0.0089041,0.069566,18.182,3.8907,0.2146,146.82,108.05,44668.0,0.20939,0.29347,0.79061,0.00023008,3.3782,3.3928,0.53932,0
545,0.19027,0.15977,2.7675,0.1825,0.34318000000000004,0.8164600000000001,1.227,1.1746,0.15507,0.027257,41.692,0.17926,0.21778,0.49995,1.4636,3.0167,0.12771,0.1525,7.6795,5.7082,0.1623,122.86,87.263,293.44,0.1461,0.19201,0.85205,0.029115,4.1828,2.1995,0.2824,0
546,0.012786,0.39343,1.2519,0.081346,-0.1963,0.46586000000000005,1.4906,0.15668,0.0089323,0.14665,63.537,0.04313,-0.14828,0.46586000000000005,0.91798,4.4315,0.29633,0.28257,3.6385,0.095938,0.03013,117.42,55.625,2676.5,0.027363,0.0080144,0.97264,0.1205,6.5618,2.8208,0.099095,0
547,0.017754,0.18892,2.8315,1.1134,-0.5916600000000001,0.73524,0.97993,0.18513,0.018117,0.09508,57.305,0.061559,0.017754,-0.13315,1.5809,3.7145,0.061835,0.20576,5.1869,3.4679,0.06282,120.9,67.207,1793.0,0.063017,0.024147,0.98206,0.10315,5.431,2.1071,0.34601,0
548,0.0091745,0.11283,1.1747,0.16686,-0.031449,0.79074,0.47071999999999997,0.20383,0.019616,0.16067,50.206,0.009341,-0.020864,0.79074,0.91155,4.5382,0.5013,0.27305,4.1451,0.044638,0.019972,88.741,44.383,680.46,0.11649,0.011602,0.88351,0.12195,8.2238,0.53916,0.019707,0
549,0.061853,0.30811,1.1446,0.14605,0.12534,0.3646,1.7724,0.26356,0.034926,0.10614,45.203,0.09115,0.15665,0.3646,0.56324,4.3459,0.33752,0.18423,5.7478,0.14371,0.051469,63.409,20.723,987.89,0.05566,0.13960999999999998,0.94434,0.8945299999999999,17.614,2.7358,0.044548000000000004,0
550,0.026385000000000002,0.23897,2.023,0.4697,0.0,0.58143,0.78977,0.06692,0.033408,8.5784,80.023,0.018418,0.075335,0.06399400000000001,1.1255,3.9094,0.51683,0.42778,3.3049,1.3346,0.0,171.55,114.94,1984.3,0.29266,0.045379,0.72399,0.17345,3.1755,1.5289,0.24445999999999998,0
551,0.0023802,0.54691,0.94348,0.0075727,-0.0013599,0.35481999999999997,1.5768,0.050715,0.0015095,0.42763,24.127,-0.022125,0.0023802,0.0010203,0.7331,3.3543,0.40763,0.34206,2.883,2.4782,0.012653,118.49,94.022,-69.898,-0.014032,0.006708199999999999,0.99853,0.078957,3.8821,3.2578,-0.030912000000000002,0
552,0.15639,0.5484,1.42,0.017573,0.48913999999999996,0.40336,2.1517,0.30811,0.073286,0.10234,16.317,0.1641,0.60531,0.40336,1.8229,4.4616,0.27315,0.28057,3.8912,0.2793,0.076902,131.55,116.6,6667.3,0.084032,0.29919,0.91597,0.097087,3.1303,9.6437,0.23031999999999997,0
553,0.038633,0.5964,1.206,0.16092,0.0,0.22654000000000002,1.6164,0.10589,0.023901,0.2637,5.2432,0.0312,0.13631,0.038633,0.80688,3.4743,0.43744,0.37624,2.7102,2.0494,0.033718,140.74,135.6,366.11,0.019303,0.17054,0.97657,0.24051999999999998,2.6917,5.7572,0.12284,0
554,-0.044857,0.31933,1.0453,0.24387,0.11085,0.33424,1.264,0.053809,-0.036112,0.30962,12.379,-0.011375,0.15379,0.33424,0.5017,4.8483,0.47337,0.25451,3.89,-0.017793,-0.0091569,75.195,62.691,1019.2,-0.010052,-0.12312000000000001,1.0101,0.9572299999999999,5.8222,1.8645,0.014453,0
555,0.010561,0.4112,1.1051,0.039716,0.37166,0.47081999999999996,2.275,0.16696,0.0046563,0.17811,8.6692,0.019541,0.4598,0.47081999999999996,0.86295,4.4439,0.22282,0.18303,5.5155,0.038347,0.008616,70.502,61.914,1200.6,0.0093903,0.020143,0.99061,0.20897,5.8953,4.1569,0.043203,0
556,0.13795,0.061841,8.1822,1.6286,0.36716,0.90776,1.074,2.8959,0.12972,0.011495,40.386,0.13575,0.45674,0.90776,1.8376,4.5945,-0.034942,0.066191,17.197,2.1951,0.12764,139.1,103.62,17458.0,0.12148,0.12207,0.87852,0.0,3.5225,2.1528,0.44416000000000005,0
557,0.10962000000000001,0.17342,3.7114,0.89479,0.0,0.31949,0.95336,0.39654,0.11499,0.14157,57.338,2.1783e-05,0.31942,0.31871,0.89651,4.8099,0.69592,0.28753,5.4974,0.8863,0.0,187.01,150.74,30351.0,0.36735,0.34313,0.64186,1.5869,2.4214,2.6752,0.47021999999999997,0
558,0.038502999999999996,0.10102,0.071467,0.011708,0.0,0.18866,0.07216499999999999,0.070037,0.53354,0.50479,0.0,0.035255,0.08149,0.13751,0.19003,3.9974,11.227,2.7368,0.7144,0.045493,0.48853,30.532,30.532,-932.42,0.48853,0.16847,0.61649,3.7651,11.955,0.07269,-0.093796,0
559,-0.01983,0.21306999999999998,4.5574,0.13173,-1.8882,0.78209,1.7292,-0.073853,-0.011468,-0.11252,0.49034,-0.04374,0.088019,-0.63498,27.004,3.8808,0.1098,0.12018,8.1157,8.1361,-0.039495,199.04,198.54,5760.2,-0.025295,-0.025355000000000003,1.0112,0.0,1.8384,59.704,0.75797,0
560,0.637,0.31606,1.34,0.10113,0.0,0.65658,1.6149,1.9512,0.39446,0.01708,15.662,-0.071037,0.63442,0.63256,1.1389,3.9226,0.19493,0.18747,5.1095,4.9092,0.39456,88.501,72.15,899.31,-0.043989,0.79003,0.72718,0.041677,5.0589,2.8013,0.10745999999999999,0
561,0.12621,0.26344,0.74988,0.046014,0.085126,0.37082,0.59495,0.20973,0.21213,0.1588,33.954,0.12918,0.32864,0.36591,0.46211,4.0079,1.043,0.56559,2.2584,0.74028,0.21232,113.76,87.175,-671.0,0.21713,0.27568000000000004,0.78798,0.98631,4.187,0.74141,-0.06589099999999999,0
563,0.13646,0.28597,1.7048,0.43211,0.29859,0.39935,1.7093,0.34009,0.08149,0.086399,33.1,0.15968,0.36928,0.39935,0.77925,4.1808,0.27196,0.18708,5.8556,0.27798,0.095358,79.329,49.114,3056.0,0.087157,0.25544,0.91284,0.72231,7.4317,3.2674,0.20154,0
564,0.023551,0.55667,1.6603,0.49729,-0.063978,0.11030999999999999,0.70932,0.04081,0.033203,0.53879,213.84,0.054360000000000006,-0.040427,-0.0475,1.4558,4.0753,0.86515,0.84993,1.2742,0.73617,0.059615,333.14,135.68,4371.3,0.076637,0.14937999999999999,0.96985,3.0189999999999997,2.6901,9.3613,0.36756,0
565,0.11394000000000001,0.33075,1.2332,0.10071,-0.00017103,0.50975,1.1649,0.24312,0.097812,3.1132,74.039,0.0030203000000000005,0.19864,0.48468999999999995,0.86087,4.7772,0.39284,0.36164,3.522,1.8655,0.0,117.36,59.232,4617.4,0.21489,0.22351999999999997,0.78761,0.27412,6.1622,1.9673,0.07712100000000001,0
566,0.10697999999999999,0.38203000000000004,0.50242,0.10228,-0.026529,0.11481,1.2674,0.52663,0.089887,0.060059,8.3409,0.11731,-0.028047,0.11481,0.14208,4.1538,0.39197,0.3562,3.1155,0.23617,0.09856,46.88,39.363,-2708.7,0.098872,0.75522,0.90113,0.9988,9.2726,1.4729,-0.19009,0
567,-0.19428,0.49333,0.63739,0.029019,-0.01261,0.28064,1.095,-0.13233,-0.18297,-0.71753,36.21,-0.13876,0.034837,0.28064,0.40936,4.9388,0.59377,0.43343,2.1523,-0.21624,-0.13068,103.17,64.355,-15537.0,-0.071952,-0.68658,1.072,0.52871,5.6717,1.5488,-0.17889000000000002,0
569,0.00042521,0.7192,0.71883,0.011182,0.0,0.27625,4.1963,0.070543,0.00010133,0.40878,11.856,0.005564199999999999,0.53681,0.023451,0.57193,3.5972,0.17077,0.17162,5.8347,5.7903,0.0019988,44.269,32.428,-799.88,0.001326,-0.024973,0.9999,0.0,11.256,8.6876,-0.20221,0
571,0.1131,0.038441,21.424,17.879,0.0,0.9615600000000001,0.58095,3.6964,0.19468,0.012388,8.6545,0.074491,0.44056,0.92048,5.4498,3.6117,-1.1105,0.075901,15.113,13.175,0.12815,85.616,78.071,3210.8,0.12822,0.0971,0.8185,0.0,4.6752,3.2927,0.7851199999999999,0
572,0.020475999999999998,0.089292,5.8525,0.59738,0.0,0.74342,1.112,0.23652,0.018413,0.10867,88.156,0.049398000000000004,0.10186,0.64787,1.5572,3.7222,0.18552,0.084031,12.454,4.1415,0.034617,154.02,69.782,2285.5,0.044422,0.01701,0.98164,0.21915,5.2306,2.3292,0.43328999999999995,0
573,0.16541,0.17462,4.6651,1.8206,0.17835,0.8253799999999999,1.6346,0.97908,0.1012,0.040934,32.67,0.031548,0.62557,0.47063999999999995,4.4518,2.7905,-0.087666,0.10893,9.3609,9.1802,0.083596,110.91,78.871,395.09,0.019301,0.16233,0.90816,0.0,4.6278,8.8163,0.63998,0
574,0.025387,0.114,0.371,0.009205,0.056773000000000004,0.48691,0.32188,0.11856,0.08189,0.25217,24.588,0.031278,0.070033,0.48691,0.50841,5.3033,1.6065,0.4126,2.7193,0.06272,0.10089,48.562,26.647,-14417.0,0.10874,0.042938,0.89126,0.7900699999999999,13.697,0.3237,-0.071707,0
575,-0.038206,0.59817,0.85037,0.41328,0.0,0.37721,1.5893,0.0025809,-0.02404,0.63745,33.949,-0.026885000000000003,0.047118,0.30927,0.76773,3.645,0.24569,0.37011,2.6569,2.5951,-0.0045597,60.046,25.522,-395.2,-0.016916,-0.10128999999999999,1.0234,0.065262,14.301,3.2347,-0.089507,0
576,-0.26006999999999997,0.77975,0.73943,0.0069992,0.0,0.06758099999999999,2.0576,-0.15856,-0.1264,0.27694,44.147,0.056534,-0.20896,-0.12185,0.1596,3.8839,0.45077,0.3776,2.6388,2.2147,0.0,101.31,57.003,-1555.2,-0.003606,-3.8483,1.0091,1.9528,6.4031,4.8593,-0.20318,0
577,0.29705,0.070601,8.5843,4.92,0.27676,0.9294,1.7892,4.4123,0.16602,0.16265,73.375,0.0011059000000000002,0.88789,0.7287899999999999,2.3592,3.7934,-0.15152,0.068948,25.343,14.504,0.0,52.776,10.783,3327.8,0.4277,0.31961,0.57591,0.0,33.85,4.5419,0.53546,0
578,-0.12665,0.2462,1.0907,0.078814,-0.012064,0.40621999999999997,0.76564,-0.10124,-0.16566,-0.49107,47.63,-0.10628,0.012772,0.40621999999999997,0.55536,4.5086,0.75558,0.2832,3.1053,-0.179,-0.13902,118.94,64.785,720.63,-0.13711,-0.31177,1.1371,0.85564,5.634,1.0452,0.022343000000000002,0
